"Namespace","Registration","ResourceTypes","Global","Austria East","Belgium Central","Denmark East","France Central","France South","Germany North","Germany West Central","Italy North","North Europe","Norway East","Norway West","Poland Central","Spain Central","Sweden Central","Switzerland North","Switzerland West","West Europe"
"Microsoft.Help","NotRegistered","13","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HorizonDB","NotRegistered","8","False","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"Microsoft.HybridCloud","NotRegistered","2","False","no","no","no","yes","no","no","yes","no","yes","yes","no","yes","no","yes","yes","no","yes"
"Microsoft.HybridCompute","NotRegistered","34","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Microsoft.HybridConnectivity","NotRegistered","9","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Microsoft.HybridContainerService","NotRegistered","11","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.HybridNetwork","NotRegistered","26","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.Impact","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.InferenceService","NotRegistered","2","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"microsoft.insights","Registered","86","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.IntegrationSpaces","NotRegistered","9","False","no","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes","yes","yes","yes"
"Microsoft.IoTCentral","NotRegistered","7","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.IoTFirmwareDefense","NotRegistered","14","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.IoTOperations","NotRegistered","16","False","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.IoTOperationsDataProcessor","NotRegistered","6","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.IoTSecurity","NotRegistered","21","False","no","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.KeyVault","Registered","21","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.Kubernetes","NotRegistered","5","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","no","no","yes","yes","no","yes"
"Microsoft.KubernetesConfiguration","NotRegistered","11","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.KubernetesRuntime","NotRegistered","8","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes"
"Microsoft.Kusto","Registered","15","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.LabServices","NotRegistered","9","False","no","no","no","yes","yes","no","yes","no","yes","yes","no","no","no","no","yes","yes","yes"
"Microsoft.LoadTestService","NotRegistered","14","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","no","yes","yes","no","yes"
"Microsoft.Logic","Registered","14","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.MachineLearningServices","Registered","69","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Microsoft.Maintenance","Registered","7","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.ManagedIdentity","Registered","4","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Microsoft.ManagedNetworkFabric","NotRegistered","30","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no"
"Microsoft.ManagedOps","NotRegistered","4","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.ManagedServices","Registered","5","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Management","Registered","11","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Maps","Registered","9","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.Marketplace","NotRegistered","48","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.MarketplaceOrdering","Registered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.MessagingCatalog","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
